resource_geoid,category,count
36005042000,food retail,6
36005040800,food retail,2
36005021302,food retail,2
36047025700,food retail,33
36081157101,food retail,0
36005026701,food retail,4
36081063301,food retail,0
36081063302,food retail,0
36005024400,food retail,2
36081085500,food retail,0
36081086300,food retail,0
36081086500,food retail,1
36081116300,food retail,1
36081104700,food retail,0
36005022703,food retail,0
36005022702,food retail,5
36085017009,food retail,0
36081035700,food retail,0
36061015001,food retail,1
36005009800,food retail,2
36081009600,food retail,0
36081004500,food retail,0
36081005300,food retail,0
36047048000,food retail,8
36047048200,food retail,3
36047048400,food retail,3
36047117400,food retail,7
36047117601,food retail,5
36005021001,food retail,4
36005023800,food retail,3
36005022200,food retail,8
36047003600,food retail,0
36047006800,food retail,17
36081144700,food retail,0
36081005700,food retail,0
36081005900,food retail,0
36081054800,food retail,0
36081047300,food retail,0
36005030000,food retail,4
36081015500,food retail,0
36081015700,food retail,0
36081015900,food retail,0
36047119800,food retail,3
36061010601,food retail,4
36047026100,food retail,3
36005030200,food retail,3
36047110600,food retail,0
36047036700,food retail,2
36047051100,food retail,3
36061012100,food retail,7
36047016900,food retail,9
36047017100,food retail,3
36081059200,food retail,0
36081062200,food retail,0
36061022600,food retail,7
36047102200,food retail,3
36061005501,food retail,4
36061020800,food retail,3
36005007700,food retail,5
36005007500,food retail,5
36005007300,food retail,5
36005007900,food retail,6
36047035601,food retail,0
36047061600,food retail,0
36047013100,food retail,2
36005037504,food retail,2
36047053700,food retail,3
36005026500,food retail,5
36047042200,food retail,5
36047043800,food retail,2
36047150200,food retail,0
36005038200,food retail,0
36047049400,food retail,3
36081007500,food retail,0
36081007700,food retail,0
36081045500,food retail,0
36081063000,food retail,0
36047014100,food retail,2
36081030904,food retail,0
36081049200,food retail,0
36081012200,food retail,0
36081014400,food retail,0
36081015000,food retail,0
36047038500,food retail,5
36047030100,food retail,3
36081012000,food retail,0
36081014800,food retail,0
36005003100,food retail,1
36005005200,food retail,5
36047014900,food retail,3
36047014500,food retail,3
36047014700,food retail,0
36061009200,food retail,5
36061011401,food retail,0
36081146300,food retail,0
36047025300,food retail,4
36081146700,food retail,1
36047020600,food retail,0
36081100801,food retail,0
36061000100,food retail,0
36081002600,food retail,0
36047044800,food retail,0
36047045000,food retail,0
36047080200,food retail,4
36047075800,food retail,1
36081115100,food retail,0
36081117100,food retail,1
36081040500,food retail,0
36081040700,food retail,0
36081040900,food retail,0
36061013100,food retail,2
36047062800,food retail,5
36081025700,food retail,0
36081026300,food retail,0
36047037700,food retail,2
36081026500,food retail,0
36081029100,food retail,0
36081029300,food retail,0
36081051300,food retail,0
36005021002,food retail,4
36005021200,food retail,1
36005038800,food retail,0
36005039000,food retail,0
36005038600,food retail,2
36047028300,food retail,4
36047037300,food retail,6
36047037500,food retail,5
36005022901,food retail,0
36061014900,food retail,4
36081016900,food retail,1
36005004600,food retail,3
36047034300,food retail,2
36047034500,food retail,1
36047011200,food retail,5
36005031000,food retail,0
36005027402,food retail,1
36047050803,food retail,8
36047007100,food retail,4
36047012700,food retail,0
36047028600,food retail,7
36047050804,food retail,0
36047039400,food retail,1
36047041402,food retail,2
36047041600,food retail,1
36047093400,food retail,2
36047094600,food retail,0
36081048200,food retail,0
36047028502,food retail,2
36081006100,food retail,1
36005016000,food retail,1
36047072000,food retail,2
36047072200,food retail,7
36061022700,food retail,2
36081033000,food retail,1
36081083800,food retail,0
36061017402,food retail,4
36005042901,food retail,0
36061021500,food retail,3
36081046400,food retail,0
36081127700,food retail,6
36047024300,food retail,8
36047025100,food retail,3
36047026500,food retail,8
36081109700,food retail,0
36061008800,food retail,3
36061009000,food retail,7
36047018100,food retail,3
36081084601,food retail,0
36081139900,food retail,0
36081129102,food retail,3
36081074900,food retail,0
36005042600,food retail,4
36081033402,food retail,0
36047003700,food retail,3
36047003900,food retail,4
36047017400,food retail,1
36047017600,food retail,2
36081006501,food retail,0
36081144100,food retail,0
36047035700,food retail,2
36047035900,food retail,2
36005014100,food retail,10
36005018400,food retail,2
36005016400,food retail,1
36047028100,food retail,10
36005008700,food retail,7
36081051100,food retail,0
36081025400,food retail,0
36061001402,food retail,4
36081044601,food retail,0
36081046000,food retail,0
36081021200,food retail,0
36081024000,food retail,1
36081013700,food retail,0
36081006900,food retail,0
36081012500,food retail,0
36047015000,food retail,0
36061007000,food retail,10
36081009500,food retail,0
36081035200,food retail,0
36085002700,food retail,6
36047118201,food retail,1
36081041400,food retail,0
36081044000,food retail,0
36047021100,food retail,2
36081099701,food retail,0
36085031902,food retail,0
36081150701,food retail,0
36081063500,food retail,0
36081077908,food retail,0
36047050100,food retail,4
36047051500,food retail,0
36047018300,food retail,4
36047018700,food retail,3
36005008400,food retail,1
36005006700,food retail,11
36081053100,food retail,0
36047004300,food retail,4
36047004500,food retail,1
36047017500,food retail,2
36061001200,food retail,5
36081148300,food retail,5
36005020501,food retail,1
36061022400,food retail,4
36081015801,food retail,0
36081020800,food retail,0
36081024600,food retail,0
36081018900,food retail,0
36081024900,food retail,0
36081046200,food retail,0
36061007200,food retail,8
36061007400,food retail,5
36081056000,food retail,0
36081043900,food retail,0
36047036900,food retail,6
36081142900,food retail,0
36081145101,food retail,0
36081006201,food retail,0
36047050202,food retail,1
36005027900,food retail,1
36081025800,food retail,0
36005035800,food retail,8
36061011500,food retail,13
36047057500,food retail,10
36047057900,food retail,7
36047052300,food retail,5
36081103201,food retail,2
36081019800,food retail,2
36081019600,food retail,0
36081020200,food retail,0
36081043701,food retail,0
36081043702,food retail,1
36047010600,food retail,7
36047052500,food retail,8
36085014607,food retail,4
36047036600,food retail,6
36047037000,food retail,3
36047037401,food retail,8
36081098700,food retail,0
36005005400,food retail,2
36047058800,food retail,2
36047059000,food retail,1
36047060600,food retail,4
36081002400,food retail,0
36047037402,food retail,2
36061010602,food retail,2
36061011000,food retail,6
36061011600,food retail,3
36081108500,food retail,0
36081109900,food retail,0
36081113300,food retail,0
36085013201,food retail,0
36061019600,food retail,7
36047059800,food retail,1
36047062600,food retail,0
36047047800,food retail,3
36047016100,food retail,8
36047003500,food retail,3
36047017900,food retail,0
36047020500,food retail,4
36047031702,food retail,7
36047032100,food retail,6
36047038700,food retail,6
36047042400,food retail,4
